WHAM	LUMPY	GS	type	length
TRUE	FALSE	FALSE	DUP	31
FALSE	FALSE	TRUE	MIXED	4098
FALSE	FALSE	TRUE	MIXED	14441
FALSE	FALSE	TRUE	MIXED	1369
FALSE	FALSE	TRUE	MIXED	8702
FALSE	FALSE	TRUE	MIXED	999
FALSE	FALSE	TRUE	MIXED	2250
FALSE	FALSE	TRUE	MIXED	3313
FALSE	FALSE	TRUE	DUP	5195
FALSE	TRUE	FALSE	DEL	-303
TRUE	FALSE	FALSE	DUP	97
FALSE	TRUE	FALSE	DUP	518
TRUE	FALSE	FALSE	DEL	-303
FALSE	TRUE	FALSE	DEL	-596
FALSE	FALSE	TRUE	DUP	2811
FALSE	FALSE	TRUE	MIXED	1150
FALSE	FALSE	TRUE	MIXED	1070
FALSE	TRUE	FALSE	DEL	-65371
FALSE	TRUE	FALSE	DUP	65345
FALSE	FALSE	TRUE	MIXED	1117
FALSE	FALSE	TRUE	DEL	-2578
FALSE	TRUE	FALSE	DUP	65863
FALSE	FALSE	TRUE	DUP	8500
FALSE	FALSE	TRUE	MIXED	6549
FALSE	FALSE	TRUE	MIXED	1529
FALSE	FALSE	TRUE	MIXED	1757
FALSE	FALSE	TRUE	MIXED	3570
FALSE	FALSE	TRUE	MIXED	1050
FALSE	FALSE	TRUE	MIXED	5972
FALSE	FALSE	TRUE	MIXED	4355
FALSE	FALSE	TRUE	MIXED	1335
FALSE	FALSE	TRUE	MIXED	1711
FALSE	FALSE	TRUE	MIXED	7788
FALSE	FALSE	TRUE	MIXED	2763
FALSE	FALSE	TRUE	MIXED	2402
FALSE	FALSE	TRUE	MIXED	2497
TRUE	FALSE	FALSE	DEL	-12
FALSE	FALSE	TRUE	MIXED	1110
FALSE	FALSE	TRUE	DEL	-999
FALSE	TRUE	FALSE	DEL	-609
TRUE	FALSE	FALSE	DEL	-29
FALSE	TRUE	FALSE	DEL	-429
FALSE	FALSE	TRUE	DEL	-2010
TRUE	FALSE	FALSE	DEL	-24194739
TRUE	FALSE	FALSE	DUP	34
FALSE	TRUE	FALSE	DUP	244
TRUE	FALSE	FALSE	DEL	-3
TRUE	FALSE	FALSE	DUP	31
FALSE	FALSE	TRUE	DEL	-1272
TRUE	FALSE	FALSE	DUP	73
FALSE	FALSE	TRUE	DEL	-3735
FALSE	FALSE	TRUE	MIXED	2299
FALSE	FALSE	TRUE	MIXED	1243
FALSE	FALSE	TRUE	MIXED	1399
FALSE	FALSE	TRUE	MIXED	1399
FALSE	FALSE	TRUE	MIXED	1849
FALSE	FALSE	TRUE	MIXED	999
FALSE	FALSE	TRUE	MIXED	1822
TRUE	TRUE	FALSE	DEL	-302
FALSE	FALSE	TRUE	MIXED	1007
TRUE	FALSE	FALSE	DEL	-28
TRUE	FALSE	FALSE	DUP	76
TRUE	FALSE	FALSE	DUP	55
TRUE	TRUE	FALSE	DEL	-40
FALSE	FALSE	TRUE	DEL	-999
FALSE	TRUE	FALSE	DUP	250
FALSE	FALSE	TRUE	DEL	-8330
FALSE	TRUE	FALSE	DUP	773
FALSE	FALSE	TRUE	MIXED	1099
TRUE	TRUE	FALSE	DEL	-301
FALSE	TRUE	FALSE	DUP	592
FALSE	TRUE	FALSE	DUP	257
FALSE	TRUE	FALSE	DUP	152
TRUE	FALSE	FALSE	DEL	-76
FALSE	FALSE	TRUE	DEL	-4803
TRUE	FALSE	FALSE	DEL	-16
TRUE	FALSE	FALSE	DUP	60
TRUE	TRUE	FALSE	DEL	-147
TRUE	FALSE	FALSE	DEL	-30
TRUE	FALSE	FALSE	DUP	42
TRUE	FALSE	FALSE	DEL	-46
TRUE	FALSE	FALSE	DEL	-32
FALSE	FALSE	TRUE	DEL	-2699
TRUE	FALSE	FALSE	DEL	-24
TRUE	FALSE	FALSE	DUP	209
TRUE	FALSE	FALSE	DUP	274
TRUE	TRUE	FALSE	DEL	-61
TRUE	FALSE	FALSE	DUP	56
FALSE	TRUE	FALSE	DEL	-532
TRUE	FALSE	FALSE	DEL	-29
FALSE	FALSE	TRUE	DEL	-7883
FALSE	FALSE	TRUE	DEL	-19033
TRUE	FALSE	FALSE	INV	811
FALSE	FALSE	TRUE	DEL	-1899
FALSE	FALSE	TRUE	DEL	-1349
TRUE	FALSE	FALSE	DEL	-13
FALSE	FALSE	TRUE	DUP	2120
FALSE	FALSE	TRUE	MIXED	1620
FALSE	FALSE	TRUE	MIXED	4421
TRUE	FALSE	FALSE	DUP	42
FALSE	TRUE	FALSE	DEL	-782
FALSE	FALSE	TRUE	DEL	-1399
FALSE	FALSE	TRUE	DEL	-2649
TRUE	FALSE	FALSE	INV	227
TRUE	FALSE	FALSE	DEL	-6
TRUE	FALSE	FALSE	INV	152
TRUE	FALSE	FALSE	DEL	-18
FALSE	FALSE	TRUE	DEL	-7684
FALSE	FALSE	TRUE	DUP	4466
TRUE	FALSE	FALSE	DUP	25
FALSE	FALSE	TRUE	DEL	-1927
TRUE	FALSE	FALSE	DEL	-26
FALSE	FALSE	TRUE	DEL	-3837
TRUE	FALSE	FALSE	DUP	103
FALSE	TRUE	FALSE	DEL	-1072
FALSE	FALSE	TRUE	MIXED	1099
TRUE	FALSE	FALSE	DEL	-180
TRUE	FALSE	FALSE	INV	753
TRUE	FALSE	FALSE	DUP	113
TRUE	FALSE	FALSE	DUP	7
FALSE	FALSE	TRUE	DEL	-1799
FALSE	FALSE	TRUE	DEL	-1506
FALSE	TRUE	TRUE	DEL	-1926
FALSE	FALSE	TRUE	DEL	-1002
TRUE	FALSE	FALSE	DEL	-21
FALSE	FALSE	TRUE	DEL	-8332
FALSE	FALSE	TRUE	DEL	-1424
FALSE	FALSE	TRUE	DUP	5837
FALSE	FALSE	TRUE	MIXED	1064
FALSE	FALSE	TRUE	DEL	-2594
FALSE	FALSE	TRUE	DEL	-1157
FALSE	FALSE	TRUE	DEL	-2649
FALSE	FALSE	TRUE	DEL	-7353
FALSE	FALSE	TRUE	MIXED	1343
FALSE	FALSE	TRUE	MIXED	2019
FALSE	FALSE	TRUE	DUP	14415
TRUE	TRUE	TRUE	DEL	-8962
FALSE	TRUE	TRUE	DEL	-1231
FALSE	FALSE	TRUE	DEL	-2399
FALSE	FALSE	TRUE	DEL	-4811
FALSE	FALSE	TRUE	DEL	-999
TRUE	FALSE	FALSE	DEL	-14
FALSE	FALSE	TRUE	MIXED	1221
FALSE	FALSE	TRUE	DEL	-3104
TRUE	FALSE	FALSE	DEL	-29
TRUE	TRUE	FALSE	DEL	-171
FALSE	FALSE	TRUE	DEL	-1199
FALSE	FALSE	TRUE	DEL	-2202
FALSE	FALSE	TRUE	DEL	-1708
FALSE	TRUE	FALSE	DUP	2203
TRUE	FALSE	FALSE	DEL	-89
FALSE	FALSE	TRUE	DEL	-1949
TRUE	TRUE	FALSE	DEL	-296
TRUE	FALSE	FALSE	DUP	48
FALSE	FALSE	TRUE	DEL	-4773
FALSE	FALSE	TRUE	DEL	-1499
FALSE	FALSE	TRUE	DEL	-2443
FALSE	FALSE	TRUE	DEL	-3149
FALSE	FALSE	TRUE	MIXED	1410
FALSE	FALSE	TRUE	DEL	-2339
FALSE	FALSE	TRUE	MIXED	3302
FALSE	FALSE	TRUE	MIXED	1223
FALSE	FALSE	TRUE	MIXED	3071
FALSE	FALSE	TRUE	MIXED	5153
FALSE	FALSE	TRUE	MIXED	3062
FALSE	FALSE	TRUE	MIXED	2151
FALSE	FALSE	TRUE	MIXED	1151
FALSE	FALSE	TRUE	MIXED	2986
FALSE	FALSE	TRUE	MIXED	1700
FALSE	FALSE	TRUE	MIXED	4009
FALSE	FALSE	TRUE	MIXED	4025
FALSE	FALSE	TRUE	MIXED	8401
FALSE	FALSE	TRUE	MIXED	10879
FALSE	FALSE	TRUE	MIXED	2139
FALSE	FALSE	TRUE	MIXED	1898
FALSE	FALSE	TRUE	MIXED	1109
FALSE	FALSE	TRUE	MIXED	4787
FALSE	FALSE	TRUE	MIXED	1880
FALSE	FALSE	TRUE	MIXED	8459
FALSE	FALSE	TRUE	MIXED	999
FALSE	FALSE	TRUE	MIXED	3360
FALSE	FALSE	TRUE	MIXED	1660
FALSE	FALSE	TRUE	MIXED	1886
FALSE	FALSE	TRUE	MIXED	1433
FALSE	FALSE	TRUE	DEL	-3618
FALSE	FALSE	TRUE	DEL	-4043
FALSE	FALSE	TRUE	DEL	-1351
FALSE	FALSE	TRUE	DEL	-1534
FALSE	FALSE	TRUE	MIXED	4699
FALSE	FALSE	TRUE	DEL	-7184
FALSE	FALSE	TRUE	DEL	-3597
FALSE	FALSE	TRUE	DEL	-999
FALSE	FALSE	TRUE	DEL	-12446
FALSE	FALSE	TRUE	MIXED	1099
FALSE	FALSE	TRUE	DEL	-1445
FALSE	FALSE	TRUE	DEL	-3625
FALSE	FALSE	TRUE	DEL	-1099
TRUE	FALSE	FALSE	DEL	-4
FALSE	FALSE	TRUE	MIXED	22862
FALSE	FALSE	TRUE	MIXED	1299
TRUE	FALSE	FALSE	DUP	48
FALSE	FALSE	TRUE	DEL	-3934
FALSE	FALSE	TRUE	DEL	-999
TRUE	FALSE	FALSE	DUP	11
TRUE	FALSE	FALSE	DUP	39
FALSE	FALSE	TRUE	MIXED	4082
FALSE	TRUE	FALSE	DEL	-64936
FALSE	TRUE	FALSE	DUP	64768
TRUE	FALSE	FALSE	DEL	-31
FALSE	FALSE	TRUE	DUP	13821
FALSE	FALSE	TRUE	DEL	-3299
FALSE	FALSE	TRUE	DEL	-6701
TRUE	FALSE	FALSE	DUP	22
FALSE	FALSE	TRUE	DUP	10820
FALSE	FALSE	TRUE	MIXED	1399
FALSE	FALSE	TRUE	DUP	3442
FALSE	FALSE	TRUE	DUP	4743
FALSE	TRUE	FALSE	DUP	22515
FALSE	FALSE	TRUE	DUP	15712
TRUE	TRUE	FALSE	DEL	-9739
TRUE	TRUE	FALSE	DUP	9816
TRUE	FALSE	FALSE	INV	136
TRUE	FALSE	FALSE	INV	809
FALSE	FALSE	TRUE	DEL	-5549
TRUE	TRUE	FALSE	DEL	-53
TRUE	FALSE	FALSE	DUP	62
FALSE	FALSE	TRUE	DUP	2099
FALSE	FALSE	TRUE	DEL	-3922
FALSE	FALSE	TRUE	DEL	-1739
FALSE	TRUE	FALSE	DUP	3008
FALSE	FALSE	TRUE	DUP	8673
FALSE	FALSE	TRUE	DUP	8279
FALSE	FALSE	TRUE	DUP	16034
FALSE	FALSE	TRUE	DUP	18529
FALSE	FALSE	TRUE	MIXED	1135
FALSE	FALSE	TRUE	MIXED	4515
FALSE	FALSE	TRUE	MIXED	5624
FALSE	FALSE	TRUE	DUP	21208
TRUE	FALSE	FALSE	DUP	24
FALSE	FALSE	TRUE	DUP	13694
FALSE	FALSE	TRUE	DUP	8371
FALSE	FALSE	TRUE	DUP	3084
TRUE	FALSE	FALSE	DEL	-41
FALSE	FALSE	TRUE	MIXED	3434
FALSE	FALSE	TRUE	MIXED	13647
FALSE	FALSE	TRUE	MIXED	8767
FALSE	FALSE	TRUE	MIXED	2503
FALSE	FALSE	TRUE	DUP	2441
FALSE	FALSE	TRUE	DUP	9359
FALSE	FALSE	TRUE	DUP	3378
TRUE	FALSE	FALSE	DEL	-22
FALSE	FALSE	TRUE	DUP	4887
FALSE	FALSE	TRUE	DUP	5541
FALSE	FALSE	TRUE	DUP	5668
FALSE	FALSE	TRUE	DUP	3199
TRUE	FALSE	FALSE	DEL	-82
FALSE	FALSE	TRUE	DUP	23782
TRUE	FALSE	FALSE	DEL	-19
TRUE	FALSE	FALSE	DEL	-2072
FALSE	FALSE	TRUE	DEL	-1799
FALSE	FALSE	TRUE	DUP	2499
FALSE	FALSE	TRUE	DUP	17612
FALSE	FALSE	TRUE	DEL	-1399
TRUE	TRUE	FALSE	DEL	-306
FALSE	FALSE	TRUE	DEL	-7821
FALSE	FALSE	TRUE	DEL	-999
TRUE	FALSE	FALSE	DUP	57
FALSE	FALSE	TRUE	DEL	-7819
TRUE	FALSE	FALSE	DUP	71
TRUE	FALSE	FALSE	DEL	-29
TRUE	FALSE	FALSE	DUP	62
FALSE	TRUE	FALSE	DEL	-131707238
FALSE	FALSE	TRUE	MIXED	1240
FALSE	FALSE	TRUE	DEL	-1026
FALSE	FALSE	TRUE	DEL	-9399
FALSE	FALSE	TRUE	DEL	-1699
FALSE	FALSE	TRUE	DUP	58276
FALSE	FALSE	TRUE	MIXED	6077
FALSE	FALSE	TRUE	MIXED	7175
FALSE	FALSE	TRUE	DEL	-10009
FALSE	FALSE	TRUE	DEL	-6707
FALSE	FALSE	TRUE	MIXED	1167
FALSE	TRUE	FALSE	DEL	-1135
FALSE	FALSE	TRUE	MIXED	1199
TRUE	FALSE	FALSE	DEL	-29
FALSE	FALSE	TRUE	DEL	-2444
FALSE	FALSE	TRUE	DEL	-6573
TRUE	FALSE	FALSE	DUP	36
TRUE	FALSE	FALSE	INV	14
FALSE	FALSE	TRUE	DEL	-2603
FALSE	FALSE	TRUE	MIXED	1099
FALSE	FALSE	TRUE	DEL	-1799
FALSE	FALSE	TRUE	DUP	35634
FALSE	FALSE	TRUE	DUP	2070
TRUE	TRUE	FALSE	DEL	-55
FALSE	TRUE	FALSE	DEL	-771
FALSE	FALSE	TRUE	MIXED	1220
FALSE	FALSE	TRUE	DEL	-11710
TRUE	FALSE	FALSE	INV	133
TRUE	FALSE	FALSE	DEL	-30
TRUE	FALSE	FALSE	INV	10
TRUE	FALSE	FALSE	DUP	53
TRUE	FALSE	FALSE	DEL	-21
FALSE	FALSE	TRUE	MIXED	1102
FALSE	FALSE	TRUE	DEL	-5148
TRUE	FALSE	FALSE	DEL	-7
FALSE	FALSE	TRUE	DEL	-1801
FALSE	TRUE	FALSE	DEL	-24685
FALSE	FALSE	TRUE	DEL	-21467
FALSE	FALSE	TRUE	DEL	-1184
TRUE	FALSE	FALSE	DEL	-24
TRUE	FALSE	FALSE	DEL	-22
TRUE	FALSE	FALSE	DEL	-12
FALSE	FALSE	TRUE	DEL	-9500
FALSE	FALSE	TRUE	DEL	-999
FALSE	FALSE	TRUE	DEL	-1352
TRUE	FALSE	FALSE	DEL	-26
TRUE	FALSE	FALSE	DUP	149
FALSE	TRUE	FALSE	DUP	132
TRUE	FALSE	FALSE	DEL	-27
FALSE	FALSE	TRUE	DEL	-1193
FALSE	FALSE	TRUE	DEL	-10999
FALSE	FALSE	TRUE	DEL	-1378
FALSE	TRUE	FALSE	DUP	344
FALSE	FALSE	TRUE	DEL	-1299
FALSE	FALSE	TRUE	DEL	-1499
FALSE	FALSE	TRUE	DEL	-6683
FALSE	FALSE	TRUE	DEL	-1798
FALSE	FALSE	TRUE	DEL	-7317
FALSE	FALSE	TRUE	DEL	-5512
FALSE	FALSE	TRUE	MIXED	1699
TRUE	TRUE	FALSE	DEL	-291
TRUE	FALSE	FALSE	INV	50
FALSE	FALSE	TRUE	DEL	-3360
FALSE	FALSE	TRUE	DEL	-2899
FALSE	FALSE	TRUE	DEL	-4880
TRUE	TRUE	FALSE	DEL	-2806
FALSE	FALSE	TRUE	DEL	-4899
FALSE	FALSE	TRUE	DEL	-1756
FALSE	FALSE	TRUE	DEL	-1040
FALSE	FALSE	TRUE	MIXED	1199
FALSE	FALSE	TRUE	DEL	-3324
FALSE	FALSE	TRUE	MIXED	2725
FALSE	FALSE	TRUE	MIXED	8350
FALSE	FALSE	TRUE	MIXED	8694
FALSE	FALSE	TRUE	MIXED	4386
FALSE	FALSE	TRUE	MIXED	5744
FALSE	FALSE	TRUE	MIXED	13814
FALSE	FALSE	TRUE	MIXED	9910
FALSE	FALSE	TRUE	MIXED	8040
FALSE	FALSE	TRUE	MIXED	4922
FALSE	FALSE	TRUE	MIXED	3955
FALSE	FALSE	TRUE	DUP	13509
FALSE	FALSE	TRUE	MIXED	6355
FALSE	FALSE	TRUE	DUP	11264
FALSE	FALSE	TRUE	DUP	4710
FALSE	FALSE	TRUE	DUP	2058
FALSE	FALSE	TRUE	DUP	14649
FALSE	FALSE	TRUE	DUP	2710
FALSE	FALSE	TRUE	DUP	5748
FALSE	FALSE	TRUE	DUP	3099
FALSE	FALSE	TRUE	DEL	-3368
FALSE	FALSE	TRUE	MIXED	2414
FALSE	FALSE	TRUE	DUP	7250
FALSE	FALSE	TRUE	MIXED	1535
FALSE	FALSE	TRUE	DUP	2002
FALSE	FALSE	TRUE	MIXED	1199
FALSE	FALSE	TRUE	DEL	-7756
TRUE	FALSE	FALSE	DEL	-535
FALSE	TRUE	TRUE	DEL	-4567
TRUE	TRUE	FALSE	DEL	-315
FALSE	FALSE	TRUE	DUP	2414
FALSE	FALSE	TRUE	DEL	-1304
FALSE	FALSE	TRUE	DEL	-7073
FALSE	TRUE	TRUE	DUP	2869
FALSE	FALSE	TRUE	DEL	-2193
FALSE	FALSE	TRUE	DEL	-2209
FALSE	FALSE	TRUE	DEL	-3772
FALSE	FALSE	TRUE	DUP	2099
FALSE	TRUE	FALSE	INV	1307
FALSE	FALSE	TRUE	DUP	8332
FALSE	FALSE	TRUE	DEL	-3525
FALSE	FALSE	TRUE	DEL	-1199
FALSE	FALSE	TRUE	DEL	-2549
FALSE	FALSE	TRUE	DUP	5749
FALSE	FALSE	TRUE	DEL	-5399
FALSE	FALSE	TRUE	MIXED	999
TRUE	TRUE	FALSE	DEL	-313
FALSE	FALSE	TRUE	DEL	-6605
FALSE	FALSE	TRUE	MIXED	1005
FALSE	FALSE	TRUE	DEL	-1099
FALSE	FALSE	TRUE	DEL	-1099
FALSE	FALSE	TRUE	DEL	-1449
TRUE	TRUE	FALSE	DEL	-301
FALSE	FALSE	TRUE	DUP	2499
FALSE	FALSE	TRUE	DEL	-2400
FALSE	FALSE	TRUE	DEL	-1461
FALSE	FALSE	TRUE	MIXED	2671
FALSE	FALSE	TRUE	DUP	7876
FALSE	FALSE	TRUE	DEL	-2229
FALSE	FALSE	TRUE	DUP	2699
FALSE	FALSE	TRUE	DUP	2961
FALSE	FALSE	TRUE	DEL	-1186
FALSE	FALSE	TRUE	DUP	2311
FALSE	FALSE	TRUE	DEL	-1099
FALSE	FALSE	TRUE	DUP	3908
FALSE	FALSE	TRUE	DEL	-4109
FALSE	FALSE	TRUE	DEL	-1799
FALSE	FALSE	TRUE	MIXED	3353
FALSE	FALSE	TRUE	DEL	-4099
TRUE	FALSE	FALSE	DEL	-649
TRUE	FALSE	FALSE	DUP	43
FALSE	FALSE	TRUE	DEL	-4323
TRUE	FALSE	FALSE	INV	226
FALSE	FALSE	TRUE	DEL	-1099
FALSE	FALSE	TRUE	DEL	-9686
FALSE	FALSE	TRUE	DEL	-1199
TRUE	FALSE	FALSE	DUP	54
FALSE	TRUE	FALSE	DUP	395856
TRUE	FALSE	FALSE	INV	395909
FALSE	FALSE	TRUE	DEL	-1299
FALSE	FALSE	TRUE	DEL	-1018
TRUE	FALSE	FALSE	DUP	31
TRUE	FALSE	FALSE	DUP	108
TRUE	FALSE	FALSE	DUP	71
FALSE	TRUE	FALSE	DUP	357
FALSE	FALSE	TRUE	DUP	85359
TRUE	FALSE	FALSE	DUP	64
FALSE	FALSE	TRUE	MIXED	2445
FALSE	FALSE	TRUE	DUP	51314
FALSE	FALSE	TRUE	DEL	-1099
TRUE	FALSE	FALSE	DEL	-160
FALSE	FALSE	TRUE	DEL	-1924
FALSE	FALSE	TRUE	DEL	-2524
TRUE	FALSE	FALSE	DUP	29
FALSE	FALSE	TRUE	MIXED	3349
FALSE	FALSE	TRUE	MIXED	1599
FALSE	FALSE	TRUE	MIXED	5551
FALSE	FALSE	TRUE	DEL	-1199
FALSE	FALSE	TRUE	DEL	-1299
FALSE	FALSE	TRUE	DEL	-3049
FALSE	FALSE	TRUE	DEL	-1699
TRUE	FALSE	FALSE	DEL	-3
FALSE	TRUE	FALSE	DEL	-39084
FALSE	TRUE	FALSE	DUP	39186
FALSE	FALSE	TRUE	DEL	-2299
FALSE	FALSE	TRUE	DEL	-1599
FALSE	FALSE	TRUE	DEL	-2499
FALSE	FALSE	TRUE	DUP	2802
FALSE	FALSE	TRUE	MIXED	1299
FALSE	FALSE	TRUE	DEL	-1753
FALSE	FALSE	TRUE	MIXED	3108
FALSE	FALSE	TRUE	DEL	-1552
FALSE	FALSE	TRUE	DEL	-2299
FALSE	FALSE	TRUE	DEL	-3949
FALSE	FALSE	TRUE	MIXED	1020
TRUE	FALSE	FALSE	DEL	-23
FALSE	FALSE	TRUE	DEL	-2395
FALSE	FALSE	TRUE	MIXED	3749
FALSE	FALSE	TRUE	MIXED	1743
TRUE	FALSE	FALSE	DEL	-22
TRUE	FALSE	FALSE	DUP	52
FALSE	FALSE	TRUE	DEL	-9955
FALSE	FALSE	TRUE	DEL	-3699
FALSE	FALSE	TRUE	DEL	-11504
FALSE	FALSE	TRUE	DUP	4498
TRUE	FALSE	FALSE	DEL	-233
TRUE	FALSE	FALSE	INV	1392
FALSE	FALSE	TRUE	MIXED	1999
TRUE	FALSE	FALSE	DEL	-30
TRUE	FALSE	FALSE	DUP	37
FALSE	FALSE	TRUE	DEL	-5453
FALSE	FALSE	TRUE	MIXED	1799
FALSE	TRUE	FALSE	DEL	-2599
FALSE	FALSE	TRUE	MIXED	1499
TRUE	FALSE	FALSE	DEL	-194
FALSE	FALSE	TRUE	DEL	-4841
TRUE	TRUE	FALSE	DEL	-250
TRUE	TRUE	FALSE	DEL	-73
FALSE	FALSE	TRUE	DEL	-2199
FALSE	FALSE	TRUE	DEL	-2970
FALSE	FALSE	TRUE	DEL	-1499
FALSE	FALSE	TRUE	DEL	-19003
FALSE	FALSE	TRUE	MIXED	1199
FALSE	TRUE	FALSE	DUP	627
FALSE	FALSE	TRUE	MIXED	1606
FALSE	FALSE	TRUE	DEL	-2352
FALSE	FALSE	TRUE	DUP	3636
FALSE	FALSE	TRUE	DEL	-7127
FALSE	FALSE	TRUE	DEL	-6440
FALSE	FALSE	TRUE	DUP	2911
FALSE	FALSE	TRUE	DEL	-1799
FALSE	TRUE	FALSE	DEL	-3015
FALSE	FALSE	TRUE	MIXED	2812
FALSE	FALSE	TRUE	MIXED	1319
FALSE	FALSE	TRUE	DEL	-2383
TRUE	FALSE	FALSE	DEL	-30
FALSE	FALSE	TRUE	MIXED	1099
FALSE	FALSE	TRUE	DEL	-1349
FALSE	FALSE	TRUE	DEL	-4874
FALSE	FALSE	TRUE	DEL	-999
FALSE	FALSE	TRUE	MIXED	999
TRUE	FALSE	FALSE	DEL	-31
TRUE	TRUE	FALSE	DEL	-51
FALSE	FALSE	TRUE	MIXED	5677
FALSE	FALSE	TRUE	DEL	-1044
TRUE	TRUE	FALSE	DEL	-432
FALSE	FALSE	TRUE	MIXED	3432
FALSE	FALSE	TRUE	DEL	-3999
FALSE	FALSE	TRUE	DEL	-1999
FALSE	FALSE	TRUE	DEL	-2525
TRUE	FALSE	FALSE	DEL	-21
FALSE	FALSE	TRUE	DUP	34211
FALSE	FALSE	TRUE	MIXED	4243
FALSE	FALSE	TRUE	DEL	-7278
FALSE	FALSE	TRUE	DEL	-14225
TRUE	FALSE	FALSE	DEL	-23
FALSE	TRUE	FALSE	DEL	-637
TRUE	TRUE	FALSE	DEL	-57
TRUE	FALSE	FALSE	DUP	7
FALSE	TRUE	FALSE	DUP	747
FALSE	TRUE	FALSE	DEL	-648
TRUE	FALSE	FALSE	DUP	28
FALSE	FALSE	TRUE	MIXED	4171
FALSE	TRUE	FALSE	DEL	-501
TRUE	FALSE	FALSE	DEL	-304
FALSE	FALSE	TRUE	MIXED	3899
FALSE	FALSE	TRUE	DEL	-2861
FALSE	FALSE	TRUE	MIXED	1499
FALSE	FALSE	TRUE	DUP	10206
FALSE	FALSE	TRUE	MIXED	4668
FALSE	FALSE	TRUE	MIXED	2452
FALSE	FALSE	TRUE	DEL	-1499
TRUE	TRUE	FALSE	DEL	-321
TRUE	FALSE	FALSE	INV	637
FALSE	FALSE	TRUE	DUP	6402
FALSE	FALSE	TRUE	MIXED	1499
FALSE	TRUE	FALSE	DEL	-900
TRUE	FALSE	FALSE	INV	1171
TRUE	TRUE	FALSE	DEL	-293
FALSE	FALSE	TRUE	DUP	3664
FALSE	FALSE	TRUE	MIXED	999
FALSE	FALSE	TRUE	DEL	-4286
FALSE	FALSE	TRUE	DEL	-999
FALSE	FALSE	TRUE	DEL	-3099
FALSE	FALSE	TRUE	DEL	-9982
FALSE	FALSE	TRUE	MIXED	1199
FALSE	TRUE	FALSE	DEL	-600
FALSE	FALSE	TRUE	DUP	2129
FALSE	FALSE	TRUE	DEL	-1749
FALSE	FALSE	TRUE	DEL	-5365
FALSE	FALSE	TRUE	DEL	-1849
FALSE	TRUE	FALSE	INV	1005
FALSE	FALSE	TRUE	DEL	-1349
TRUE	TRUE	FALSE	DEL	-311
FALSE	FALSE	TRUE	MIXED	3899
FALSE	FALSE	TRUE	DEL	-7256
FALSE	FALSE	TRUE	DEL	-2449
TRUE	FALSE	FALSE	DEL	-20
TRUE	FALSE	FALSE	DUP	61
TRUE	FALSE	FALSE	DUP	32
FALSE	FALSE	TRUE	MIXED	1819
FALSE	FALSE	TRUE	DEL	-6405
FALSE	FALSE	TRUE	DEL	-3722
FALSE	FALSE	TRUE	MIXED	1049
FALSE	FALSE	TRUE	DEL	-1770
